tender_no,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt
CDVHQ0ETT16000039,Tender for the Provision of Fieldwork Research Services for Study on Gambling Prevalence in Singapore,Ministry of Social and Family Development - Ministry Headquarter,21/12/2016,Awarded to Suppliers,EA RESEARCH & CONSULTING PTE. LTD.,189900
CDVHQ0ETT16000040,Invitation to Tender for Proposed Additions & Alteration Works to Existing Buildings and Addition of New Covered Linkways at 600 Upper Thomson Road,Ministry of Social and Family Development - Ministry Headquarter,6/12/2016,Awarded to Suppliers,YUAN MEI CHEN (S) PTE. LTD.,2580000
CDVHQ0ETT16000041,Invitation to Tender for Proposed Additions & Alteration Works for Day Activity Centre at Yishun Avenue 4 and Family Service Centre at Bedok Reservoir Road,Ministry of Social and Family Development - Ministry Headquarter,5/12/2016,Awarded to Suppliers,SH INTEGRATED SERVICES PTE. LTD.,1370000
CDVHQ0ETT16000042,Invitation to Tender for Proposed Additions & Alterations Works for Day Activity Centres at Toa Payoh Lor 1 and Clementi Ave 6 and Senior Activity Centre at Hougang Dewcourt,Ministry of Social and Family Development - Ministry Headquarter,7/12/2016,Awarded to Suppliers,WEI SIANG DESIGN CONSTRUCTION PTE. LTD.,1335800
CDVHQ0ETT16000044,Invitation to Tender for the Provision of Data Collation and Processing Services,Ministry of Social and Family Development - Ministry Headquarter,27/12/2016,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,55312
CDVHQ0ETT16000046,Invitation to Tender for the Provision of 12-Seater Passenger Van,Ministry of Social and Family Development - Ministry Headquarter,30/11/2016,Awarded to Suppliers,BORNEO MOTORS (SINGAPORE) PTE. LTD.,104019.43
CDVRAPETT15000013,THE PROVISION OF GROUP POSITIVE PARENTING PROGRAM(GROUP TRIPLE P),Ministry of Social and Family Development - Rehabilitation and Protection,10/5/2016,Awarded to Suppliers,ACTUALISE! PTE. LTD.,22560
CDVRAPETT15000013,THE PROVISION OF GROUP POSITIVE PARENTING PROGRAM(GROUP TRIPLE P),Ministry of Social and Family Development - Rehabilitation and Protection,10/5/2016,Awarded to Suppliers,En Community Services Society,65920
CDVRAPETT15000013,THE PROVISION OF GROUP POSITIVE PARENTING PROGRAM(GROUP TRIPLE P),Ministry of Social and Family Development - Rehabilitation and Protection,10/5/2016,Awarded to Suppliers,FOCUS ON THE FAMILY SINGAPORE LIMITED,108360
CDVRAPETT15000013,THE PROVISION OF GROUP POSITIVE PARENTING PROGRAM(GROUP TRIPLE P),Ministry of Social and Family Development - Rehabilitation and Protection,10/5/2016,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED,138960
CDVRAPETT15000014,"TENDER FOR (A) PROGRAMMES FOR PROBATIONERS (12 months, with an option to extend for another 12 months) AND (B) PROGRAMMES FOR PARENTS (12 months)",Ministry of Social and Family Development - Rehabilitation and Protection,22/4/2016,Awarded to Suppliers,ATMAN COUNSELLING & TRAINING CONSULTANCY,45276
CDVRAPETT15000014,"TENDER FOR (A) PROGRAMMES FOR PROBATIONERS (12 months, with an option to extend for another 12 months) AND (B) PROGRAMMES FOR PARENTS (12 months)",Ministry of Social and Family Development - Rehabilitation and Protection,22/4/2016,Awarded to Suppliers,CARA CONSULTANCY SERVICES (PTE.) LTD.,26480
CDVRAPETT15000014,"TENDER FOR (A) PROGRAMMES FOR PROBATIONERS (12 months, with an option to extend for another 12 months) AND (B) PROGRAMMES FOR PARENTS (12 months)",Ministry of Social and Family Development - Rehabilitation and Protection,22/4/2016,Awarded to Suppliers,CENTRE FOR PSYCHOTHERAPY,68400
CDVRAPETT15000014,"TENDER FOR (A) PROGRAMMES FOR PROBATIONERS (12 months, with an option to extend for another 12 months) AND (B) PROGRAMMES FOR PARENTS (12 months)",Ministry of Social and Family Development - Rehabilitation and Protection,22/4/2016,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,32560
CDVRAPETT15000014,"TENDER FOR (A) PROGRAMMES FOR PROBATIONERS (12 months, with an option to extend for another 12 months) AND (B) PROGRAMMES FOR PARENTS (12 months)",Ministry of Social and Family Development - Rehabilitation and Protection,22/4/2016,Awarded to Suppliers,KO'ACH CONSULTANTS PTE. LTD.,57420
CDVRAPETT15000014,"TENDER FOR (A) PROGRAMMES FOR PROBATIONERS (12 months, with an option to extend for another 12 months) AND (B) PROGRAMMES FOR PARENTS (12 months)",Ministry of Social and Family Development - Rehabilitation and Protection,22/4/2016,Awarded to Suppliers,Persatuan Persuratan Pemuda Pemudi Melayu (Malay Youth Literary Association),41952
CDVRAPETT16000001,INVITATION TO TENDER FOR THE PRODUCTION OF THE COMMEMORATIVE EDITION OF THE FOSTERING COOKBOOK TO CELEBRATE 60 YEARS OF FOSTERING,Ministry of Social and Family Development - Rehabilitation and Protection,12/4/2016,Awarded to Suppliers,MARSHALL CAVENDISH INTERNATIONAL (ASIA) PRIVATE LIMITED,66500.01
CDVRAPETT16000002,Invitation to Tender for the Provision of Radio Campaigns Services for the Fostering Scheme,Ministry of Social and Family Development - Rehabilitation and Protection,25/4/2016,Awarded to Suppliers,BLACKBLUE MEDIA GROUP PTE. LTD.,305800
CEA000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,27/9/2016,Awarded to Suppliers,ALLEN & GLEDHILL LLP,281000
CEA000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,27/9/2016,Awarded to Suppliers,BIRD & BIRD ATMD LLP,198000
CEA000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,27/9/2016,Awarded to Suppliers,COLIN NG & PARTNERS LLP,261000
CEA000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,27/9/2016,Awarded to Suppliers,DONALDSON & BURKINSHAW LLP,338000
CEA000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,27/9/2016,Awarded to Suppliers,GATEWAY LAW CORPORATION,21000
CEA000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,27/9/2016,Awarded to Suppliers,LEE & LEE,278000
CEA000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,27/9/2016,Awarded to Suppliers,RHTLAW TAYLOR WESSING LLP,109500
CEA000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,27/9/2016,Awarded to Suppliers,SHOOK LIN & BOK LLP,124500
CEA000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,27/9/2016,Awarded to Suppliers,TITO ISAAC & CO LLP,66000
CEA000ETT16000001,INVITATION TO TENDER FOR THE PROVISION OF LEGAL SERVICES TO THE COUNCIL FOR ESTATE AGENCIES,Council for Estate Agencies,27/9/2016,Awarded to Suppliers,WONGPARTNERSHIP LLP,152000
CITHQ0ETT16000005,"PROPOSAL TO DESIGN, DEVELOP AND DEMONSTRATE THE TRUCK PLATOONING TECHNOLOGY",Ministry of Transport - Ministry Headquarter,19/12/2016,Awarded to Suppliers,SCANIA SINGAPORE PTE LTD,610000
CITHQ0ETT16000005,"PROPOSAL TO DESIGN, DEVELOP AND DEMONSTRATE THE TRUCK PLATOONING TECHNOLOGY",Ministry of Transport - Ministry Headquarter,19/12/2016,Awarded to Suppliers,TOYOTA TSUSHO ASIA PACIFIC PTE. LTD.,4469000
CITHQ0ETT16000006,"TENDER FOR THE PROVISION OF UNMANNED AIRCRAFT SYSTEMS (UAS) SERVICES TO GOVERNMENT MINISTRIES/DEPARTMENTS, STATUTORY BOARDS, AND ORGANS OF STATE",Ministry of Transport - Ministry Headquarter,11/10/2016,Awarded to No Suppliers,Unknown,0
CITHQ0ETT16000012,PROCUREMENT OF CONSULTANCY SERVICES TO ASSIST MOT AND MOF TO CONDUCT A STUDY ON THE LONG-TERM OWNERSHIP AND OPERATING MODEL FOR SINGAPORE CHANGI AIRPORT,Ministry of Transport - Ministry Headquarter,11/7/2016,Awarded to Suppliers,THE BOSTON CONSULTING GROUP SINGAPORE PTE. LTD.,1688000
CITHQ0ETT16000017,PROVISION OF DESIGN AND DELIVERY OF THE MOT FAMILY LEADERSHIP DEVELOPMENT PROGRAMME (LDP),Ministry of Transport - Ministry Headquarter,15/9/2016,Awarded to Suppliers,KORN FERRY HAY GROUP PTE. LTD.,1173750
CITHQ0ETT16000036,"General Cleaning and Sanitary Services, Cleaning/Decontamination Services and Provision of Personal Protection Equipment for Disease Outbreak",Ministry of Transport - Ministry Headquarter,26/9/2016,Awarded to Suppliers,CLEANMAGE PTE. LTD.,197400
CITHQ0ETT16000039,"Supply, Delivery and Installation of Smart Card Door Access Control System and Intrusion Detection System at #33-00 and #39-00 of Ministry of Transport",Ministry of Transport - Ministry Headquarter,6/12/2016,Awarded to Suppliers,IPS SECUREX PTE. LTD.,42883
CITHQ0ETT16000045,TENDER FOR DAILY MEDIA MONITORING SERVICES FOR THE MINISTRY OF TRANSPORT (MOT),Ministry of Transport - Ministry Headquarter,29/10/2016,Awarded to Suppliers,INSIGHTMATRIX,389400
CPE000ETT16000001,Provision of Legal Services for a period of 2 years with option to extend for 2 further years,Council for Private Education,20/5/2016,Awarded to Suppliers,ALLEN & GLEDHILL LLP,4098
CPE000ETT16000001,Provision of Legal Services for a period of 2 years with option to extend for 2 further years,Council for Private Education,20/5/2016,Awarded to Suppliers,CENTRAL CHAMBERS LAW CORPORATION,2100
CPE000ETT16000001,Provision of Legal Services for a period of 2 years with option to extend for 2 further years,Council for Private Education,20/5/2016,Awarded to Suppliers,FORTIS LAW CORPORATION,2500
CPE000ETT16000001,Provision of Legal Services for a period of 2 years with option to extend for 2 further years,Council for Private Education,20/5/2016,Awarded to Suppliers,KHATTARWONG LLP,4700
CPE000ETT16000001,Provision of Legal Services for a period of 2 years with option to extend for 2 further years,Council for Private Education,20/5/2016,Awarded to Suppliers,LEE & LEE,4500
CPF000ETT15000020,"Installation of Switchgear, Transformers, Switchboards and Outdoor Generators at CPF Tampines Building",Central Provident Fund Board,22/7/2016,Awarded to Suppliers,LIAN HUAH ENGINEERING PTE LTD,1879800
CPF000ETT15000025,Off-Site Document Storage and Auxiliary Services,Central Provident Fund Board,12/5/2016,Awarded to Suppliers,RECALL TOTAL INFORMATION MANAGEMENT PTE. LTD.,1476240
CPF000ETT15000034,Consultancy Services for Replacement of External Facade with Metal Cladding for CPF Bishan Building,Central Provident Fund Board,8/6/2016,Awarded to Suppliers,MEINHARDT FACADE TECHNOLOGY (S) PTE LTD,90000
CPF000ETT15000037,Media Planning and Buying Services,Central Provident Fund Board,8/4/2016,Awarded to Suppliers,GROUPM MEDIA PRODUCTS PTE. LTD.,51.25
CPF000ETT15000048,Provision of Business Process/Job Redesign Course,Central Provident Fund Board,17/5/2016,Awarded to Suppliers,SOLUTIONSATWORK PTE. LTD.,88800
CPF000ETT16000002,EMPLOYER BRANDING AND RECRUITMENT ADVERTISING SERVICES,Central Provident Fund Board,31/5/2016,Awarded to Suppliers,STARLIGHT ADVERTISING (PTE) LTD.,43879.1
CPF000ETT16000006,Maintenance Support for Network Equipment,Central Provident Fund Board,12/5/2016,Awarded to Suppliers,3D NETWORKS SINGAPORE PTE. LTD.,75000
CPF000ETT16000006,Maintenance Support for Network Equipment,Central Provident Fund Board,12/5/2016,Awarded to Suppliers,FUJITSU ASIA PTE LTD,39248.25
CPF000ETT16000007,Implementation and Maintenance of Learning Management System,Central Provident Fund Board,18/8/2016,Awarded to Suppliers,MQ SPECTRUM PTE. LTD.,387750
CPF000ETT16000008,"Supply, Installation and Maintenance of Network Encryptors",Central Provident Fund Board,1/6/2016,Awarded to Suppliers,NCS PTE. LTD.,581210
CPF000ETT16000009,Audit Services for Workfare Income Supplement (WIS) and Workfare Special Bonus (WSB) Scheme,Central Provident Fund Board,23/5/2016,Awarded to Suppliers,ERNST & YOUNG LLP,143700
CPF000ETT16000013,Tableau Software and Support Services,Central Provident Fund Board,18/5/2016,Awarded to Suppliers,Knowledge Management Solutions Pte Ltd,36740
CPF000ETT16000014,Re-Architecting IT Business Applications - Implementation of Customised Framework and Technical Architecture,Central Provident Fund Board,18/10/2016,Awarded to Suppliers,ACCENTURE PTE LTD,22835000
CPF000ETT16000014,Re-Architecting IT Business Applications - Implementation of Customised Framework and Technical Architecture,Central Provident Fund Board,18/10/2016,Awarded to Suppliers,IBM SINGAPORE PTE LTD,1233000
CPF000ETT16000015,"Request for Proposal (RFP) to Appoint an Integrated Agency to Plan, Conceptualise and Execute an Outreach Campaign for Working Adults",Central Provident Fund Board,14/7/2016,Awarded to Suppliers,KINGSMEN OOH-MEDIA PTE. LTD.,573442
CPF000ETT16000018,Period Contract for Supervisory Management Skills Training Programme,Central Provident Fund Board,18/7/2016,Awarded to Suppliers,DISTINCTIONS ASIA PTE. LTD.,8900
CPF000ETT16000021,Appointment of a Panel of Subject Matter Experts to Provide Investigation-Related Services,Central Provident Fund Board,22/7/2016,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,41169
CPF000ETT16000021,Appointment of a Panel of Subject Matter Experts to Provide Investigation-Related Services,Central Provident Fund Board,22/7/2016,Awarded to Suppliers,KORDAMENTHA PTE. LTD.,72032
CPF000ETT16000021,Appointment of a Panel of Subject Matter Experts to Provide Investigation-Related Services,Central Provident Fund Board,22/7/2016,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,85280
CPF000ETT16000021,Appointment of a Panel of Subject Matter Experts to Provide Investigation-Related Services,Central Provident Fund Board,22/7/2016,Awarded to Suppliers,KROLL ASSOCIATES (S) PTE LTD,56712
CPF000ETT16000021,Appointment of a Panel of Subject Matter Experts to Provide Investigation-Related Services,Central Provident Fund Board,22/7/2016,Awarded to Suppliers,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,85200
CPF000ETT16000022,"Design, Build and Maintain Uninterruptible Power Supply System",Central Provident Fund Board,29/8/2016,Awarded to Suppliers,Pro-Matrix Pte Ltd,2033653
CPF000ETT16000023,Design and Build of a Service Centre and Provision of System Maintenance Services,Central Provident Fund Board,14/9/2016,Awarded to Suppliers,D' PERCEPTION SINGAPORE PTE. LTD.,1892453.95
CPF000ETT16000024,Provision of Facilities Management Services,Central Provident Fund Board,20/10/2016,Awarded to Suppliers,CHAMBERS PROPERTY MANAGEMENT S ERVICES PTE LTD,8270000
CPF000ETT16000025,"Design, Implementation and Maintenance of File Storage and Management System",Central Provident Fund Board,28/7/2016,Awarded to Suppliers,AVEPOINT SINGAPORE PTE. LTD.,96153.49
CPF000ETT16000028,"Development, Implementation and Maintenance of Queue Management System",Central Provident Fund Board,21/10/2016,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,736594
CPF000ETT16000029,Period Contract for Ad-hoc Alteration and Addition Works at CPFB Offices,Central Provident Fund Board,14/10/2016,Awarded to Suppliers,CBM PTE. LTD.,202250
CPF000ETT16000029,Period Contract for Ad-hoc Alteration and Addition Works at CPFB Offices,Central Provident Fund Board,14/10/2016,Awarded to Suppliers,DAVOE CREATIVE PTE. LTD.,202250
CPF000ETT16000029,Period Contract for Ad-hoc Alteration and Addition Works at CPFB Offices,Central Provident Fund Board,14/10/2016,Awarded to Suppliers,ID.INC INTERIORS PTE LTD,202250
CPF000ETT16000029,Period Contract for Ad-hoc Alteration and Addition Works at CPFB Offices,Central Provident Fund Board,14/10/2016,Awarded to Suppliers,MACTECH ENGINEERING & TRADING PTE. LIMITED,202250
CPF000ETT16000031,Maintenance of Air-Conditioning System and Chillers at all CPFB Buildings,Central Provident Fund Board,26/9/2016,Awarded to Suppliers,SANYO ENGINEERING & CONSTRUCTION INC.,583100
CPF000ETT16000038,"Supply of Software and Professional Services to Design, Implement and Maintain On-Premise Managed File Transfer System",Central Provident Fund Board,24/11/2016,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD,473047.16
CPF000ETT16000041,Period Contract for Supply and Delivery of Printer Consumables,Central Provident Fund Board,7/12/2016,Awarded to Suppliers,RICOH (SINGAPORE) PTE LTD,98710
CPF000ETT16000043,"Supply, Delivery and Installation of Optical Network Dense Wavelength Division Multiplexing (DWDM)",Central Provident Fund Board,2/12/2016,Awarded to Suppliers,SINGAPORE TELECOMMUNICATIONS LIMITED,191520
CPF000ETT16000043,"Supply, Delivery and Installation of Optical Network Dense Wavelength Division Multiplexing (DWDM)",Central Provident Fund Board,2/12/2016,Awarded to Suppliers,STARHUB LTD.,149000
CRA000ETT16000002,Provision of Financial Lines Insurance Covers for a period of Two Years with the Option to Extend One Year for the Casino Regulatory Authority of Singapore,Casino Regulatory Authority,23/11/2016,Awarded to Suppliers,AXA INSURANCE SINGAPORE PTE LTD,61950
CRA000ETT16000002,Provision of Financial Lines Insurance Covers for a period of Two Years with the Option to Extend One Year for the Casino Regulatory Authority of Singapore,Casino Regulatory Authority,23/11/2016,Awarded to Suppliers,NEWLINE ASIA SERVICES PTE. LTD.,38900
CRA000ETT16000003,ITT - Provision of Insurance Policies to CRA for a Period of Twenty-Four (24) Months with Two Options to Extend for Twelve (12) Months Each.,Casino Regulatory Authority,29/12/2016,Awarded to Suppliers,MS FIRST CAPITAL INSURANCE LIMITED,59028.7
CSC000ETT16000001,INVITATION TO TENDER FOR THE PRODUCTION AND DELIVERY OF CORPORATE STATIONERY FOR CIVIL SERVICE COLLEGE FOR A PERIOD OF TWO YEARS (2) WITH AN OPTION TO EXTEND FOR ANOTHER ONE YEAR,Civil Service College,27/4/2016,Awarded to Suppliers,Milton Press Co Pte Ltd,0.06
CSC000ETT16000001,INVITATION TO TENDER FOR THE PRODUCTION AND DELIVERY OF CORPORATE STATIONERY FOR CIVIL SERVICE COLLEGE FOR A PERIOD OF TWO YEARS (2) WITH AN OPTION TO EXTEND FOR ANOTHER ONE YEAR,Civil Service College,27/4/2016,Awarded to Suppliers,ONE NINE SEVEN SIX PTE. LTD.,11.8
CSC000ETT16000001,INVITATION TO TENDER FOR THE PRODUCTION AND DELIVERY OF CORPORATE STATIONERY FOR CIVIL SERVICE COLLEGE FOR A PERIOD OF TWO YEARS (2) WITH AN OPTION TO EXTEND FOR ANOTHER ONE YEAR,Civil Service College,27/4/2016,Awarded to Suppliers,SUNRIO (PTE) LTD,5.65
CSC000ETT16000001,INVITATION TO TENDER FOR THE PRODUCTION AND DELIVERY OF CORPORATE STATIONERY FOR CIVIL SERVICE COLLEGE FOR A PERIOD OF TWO YEARS (2) WITH AN OPTION TO EXTEND FOR ANOTHER ONE YEAR,Civil Service College,27/4/2016,Awarded to Suppliers,YOU BANG PTE. LTD.,0.78
CSC000ETT16000002,INVITATION TO TENDER FOR RESEARCH STUDY ON CITIZENS SATISFACTION OF KEY PUBLIC SERVICES FOR CIVIL SERVICE COLLEGE,Civil Service College,21/7/2016,Awarded to Suppliers,IPSOS PTE. LTD.,81422.2
CSC000ETT16000004,INVITATION TO TENDER FOR THE DESIGN AND DELIVERY OF COACHING SKILLS PROGRAMMES FOR MANAGERS,Civil Service College,14/7/2016,Awarded to Suppliers,ROFFEY PARK ASIA PACIFIC PTE. LTD.,408000
CSC000ETT16000005,Invitation to Tender for the Appointment of a Space Planner-cum-Interior Designer For The Provision of Space Planning-cum-Interior Designing & Multi-Disciplinary Consultancy Services Including Project Mgmt Services For The Refurbishment of Offices & Training Rooms,Civil Service College,28/6/2016,Awarded to Suppliers,ONE MARINA PROPERTY SERVICES PTE. LTD.,79000
CSC000ETT16000008,"INVITATION TO TENDER FOR THE DESIGN, DEVELOPMENT AND DEPLOYMENT OF E-LEARNING COURSEWARES FOR CIVIL SERVICE COLLEGE UNDER A PERIOD CONTRACT OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",Civil Service College,25/7/2016,Awarded to Suppliers,ENCORA TECHNOLOGIES PTE. LTD.,88578
CSC000ETT16000008,"INVITATION TO TENDER FOR THE DESIGN, DEVELOPMENT AND DEPLOYMENT OF E-LEARNING COURSEWARES FOR CIVIL SERVICE COLLEGE UNDER A PERIOD CONTRACT OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",Civil Service College,25/7/2016,Awarded to Suppliers,WIZLEARN TECHNOLOGIES PTE. LTD.,64640
CSC000ETT16000009,Period Contract for the Provision of Graphic Recording Services for One Year with the Option to Extend for Another Year,Civil Service College,19/8/2016,Awarded to Suppliers,PICTURE PEOPLE PLAN PTE. LTD.,4450
CSC000ETT16000009,Period Contract for the Provision of Graphic Recording Services for One Year with the Option to Extend for Another Year,Civil Service College,19/8/2016,Awarded to Suppliers,PIVOTAL LEARNING PRIVATE LIMITED,2500
CSC000ETT16000009,Period Contract for the Provision of Graphic Recording Services for One Year with the Option to Extend for Another Year,Civil Service College,19/8/2016,Awarded to Suppliers,WELENIA STUDIOS,6592
CSC000ETT16000010,Invitation to Tender: Establishment of Period Contract for Consultancy Services for Civil Service College,Civil Service College,25/7/2016,Awarded to Suppliers,ACCENTURE PTE LTD,5200
CSC000ETT16000010,Invitation to Tender: Establishment of Period Contract for Consultancy Services for Civil Service College,Civil Service College,25/7/2016,Awarded to Suppliers,CHEMISTRY FORM PTE. LTD.,3960
CSC000ETT16000010,Invitation to Tender: Establishment of Period Contract for Consultancy Services for Civil Service College,Civil Service College,25/7/2016,Awarded to Suppliers,THINKPLACE SINGAPORE PTE. LTD.,4300
CSC000ETT16000012,Invitation to Tender for the Application Development and Maintenance of the TREX System for Civil Service College's Business Operations,Civil Service College,15/12/2016,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,5086834.68
CSC000ETT16000014,"Invitation to Tender for Design, Development and Delivery of Immersive Learning Experiences for Civil Service Colleges Learning Programmes",Civil Service College,1/11/2016,Awarded to Suppliers,ROHEI CORPORATION PTE. LTD.,15611
CSC000ETT16000016,Invitation to Tender for the Provision of Services for the Development of a Content Strategy and Design of Learning Portals,Civil Service College,29/11/2016,Awarded to Suppliers,PEBBLEROAD PTE. LTD.,363000
CSC000ETT16000018,Invitation to Tender for the Appointment of Event Management Company for Behavioural Exchange Conference (BX2017) for Civil Service College,Civil Service College,14/12/2016,Awarded to Suppliers,EUREKA! CAMPAIGN ASSOCIATES PTE. LTD.,117125
CSC000ETT16000019,Invitation to Tender for the Replacement of Existing Intrusion Detection Security System (IDSS) Including Card Access Readers and Controllers to Support New SSID-Based Public Service Cards for Civil Service College,Civil Service College,21/12/2016,Awarded to Suppliers,IPS SECUREX PTE. LTD.,69348.01
CSC000ETT16000020,Invitation to Tender for the Non-Comprehensive Maintenance and End-User Support Services for Audio-Visual (AV) Systems in Civil Service College for Two (2) Years with an Option to Extend for Another One (1) Year,Civil Service College,19/12/2016,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,117120
DEF000ETT15000127,Provision of Recruitment Services,Ministry of Defence,25/5/2016,Awarded to Suppliers,CAPITA PTE. LTD.,150681.57
DEF000ETT15000127,Provision of Recruitment Services,Ministry of Defence,25/5/2016,Awarded to Suppliers,GMP TECHNOLOGIES (S) PTE LTD,113236.89
DEF000ETT15000127,Provision of Recruitment Services,Ministry of Defence,25/5/2016,Awarded to Suppliers,NSEARCH GLOBAL PTE. LTD.,44200
DEF000ETT15000127,Provision of Recruitment Services,Ministry of Defence,25/5/2016,Awarded to Suppliers,PrimeStaff Management Services Pte Ltd,77227.41
DEF000ETT15000169,Supply and Maintenance of Microfilm Processor and Microfilm Duplicator,Ministry of Defence,18/10/2016,Awarded to Suppliers,KODAK ALARIS SINGAPORE PTE. LTD.,162771
DEF000ETT15000193,"DESIGN, BUILD AND OPERATION OF THE NATIONAL SERVICE (NS) GALLERY",Ministry of Defence,25/4/2016,Awarded to Suppliers,NCS PTE. LTD.,5168266
DEF000ETT15000210,Conduct of Strategies in Influencing Change Workshop,Ministry of Defence,24/5/2016,Awarded to Suppliers,ULTIMATE ALLIANCE CONSULTANCY PTE. LTD.,135840
DEF000ETT15000231,Period Contract for Supply of Myopic Goggles,Ministry of Defence,12/4/2016,Awarded to Suppliers,WINCOMP TECHNOLOGY PTE. LTD.,74851
DEF000ETT15000255,Survey and Analysis Services,Ministry of Defence,6/10/2016,Awarded to No Suppliers,Unknown,0
DEF000ETT15000263,PERIOD CONTRACT FOR MOSQUITO CONTROL SERVICES USING BACILLUS THURINGIENSIS ISRAELENSIS ON PULAU TEKONG AND SURVEILLANCE SERVICES ON WESTERN TRAINING AREA,Ministry of Defence,22/9/2016,Awarded to Suppliers,ATL MAINTENANCE PTE. LTD.,4526163.76
DEF000ETT15000263,PERIOD CONTRACT FOR MOSQUITO CONTROL SERVICES USING BACILLUS THURINGIENSIS ISRAELENSIS ON PULAU TEKONG AND SURVEILLANCE SERVICES ON WESTERN TRAINING AREA,Ministry of Defence,22/9/2016,Awarded to Suppliers,VERMINATOR PTE. LTD.,9706082.66
DEF000ETT15000270,"PROJECT D2014-00169 C01 - LAND PREPARATION, AIRFIELD AND ANCILLARY WORKS AT CHANGI EAST",Ministry of Defence,23/5/2016,Awarded to Suppliers,KTC CIVIL ENGINEERING & CONSTRUCTION PTE LTD,317577000
DEF000ETT15000277,D2008-00756 Upgrading of Guardhouse at Tuas,Ministry of Defence,8/6/2016,Awarded to Suppliers,NU SYSTEMS PTE. LTD.,348400
DEF000ETT15000281,PERIOD CONTRACT FOR THE PROVISION OF CORNEAL REFRACTIVE SURGERY,Ministry of Defence,5/4/2016,Awarded to Suppliers,NATIONAL UNIVERSITY HOSPITAL (SINGAPORE) PTE LTD,10990
DEF000ETT15000286,Supply of Wrist Watches with Customised Engraving,Ministry of Defence,16/6/2016,Awarded to Suppliers,CRYSTAL TIME (SINGAPORE) PTE. LTD.,1931352
DEF000ETT15000296,Management and Operation of SAFTI MI Library,Ministry of Defence,4/7/2016,Awarded to Suppliers,CIVICA PTE. LTD.,1456300.2
DEF000ETT15000297,PROJECT D2014-00335-010 - CONSTRUCTION OF 4-STOREY BUILDING AND OUTDOOR TRAINING FACILITIES ALONG CHUA CHU KANG WAY,Ministry of Defence,30/5/2016,Awarded to Suppliers,QUEK HOCK SENG CONSTRUCTION (PTE) LTD,15160000
DEF000ETT15000298,Supply of Show Lighting Equipment,Ministry of Defence,19/4/2016,Awarded to Suppliers,ROBE LIGHTING ASIA PACIFIC PTE. LTD.,105005
DEF000ETT15000298,Supply of Show Lighting Equipment,Ministry of Defence,19/4/2016,Awarded to Suppliers,TOTAL SOLUTION MARKETING PTE. LTD.,2974
DEF000ETT15000313,"Supply and maintenance of dragon boats, safety boats and related accessories",Ministry of Defence,13/9/2016,Awarded to Suppliers,CAMELOT PTE. LTD.,6000
DEF000ETT15000313,"Supply and maintenance of dragon boats, safety boats and related accessories",Ministry of Defence,13/9/2016,Awarded to Suppliers,KAIROS SINGAPORE HOLDINGS PTE. LTD.,73165.2
DEF000ETT15000313,"Supply and maintenance of dragon boats, safety boats and related accessories",Ministry of Defence,13/9/2016,Awarded to Suppliers,KIM TUCK HUAT BOATBUILDER,8640
DEF000ETT15000313,"Supply and maintenance of dragon boats, safety boats and related accessories",Ministry of Defence,13/9/2016,Awarded to Suppliers,Kanoe Sports,189547.2
